state,declarationDate,fyDeclared,declarationType,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,disasterLength
SD,2023-02-20 00:00:00+00:00,2023,DR,Winter Storm,SEVERE WINTER STORMS AND SNOWSTORM,0,0,1,1,2022-12-12 00:00:00+00:00,2022-12-25 00:00:00+00:00,,13 days
SD,2023-02-20 00:00:00+00:00,2023,DR,Winter Storm,SEVERE WINTER STORMS AND SNOWSTORM,0,0,1,1,2022-12-12 00:00:00+00:00,2022-12-25 00:00:00+00:00,,13 days
ND,2023-02-05 00:00:00+00:00,2023,DR,Snowstorm,"SEVERE WINTER STORM, SNOWSTORM, AND STRAIGHT-LINE WINDS",0,0,1,1,2022-11-09 00:00:00+00:00,2022-11-11 00:00:00+00:00,,2 days
GA,2023-01-16 00:00:00+00:00,2023,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",0,0,1,1,2023-01-12 00:00:00+00:00,2023-01-12 00:00:00+00:00,,0 days
AL,2023-01-15 00:00:00+00:00,2023,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",0,0,1,1,2023-01-12 00:00:00+00:00,2023-01-12 00:00:00+00:00,,0 days
CA,2023-01-14 00:00:00+00:00,2023,DR,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2022-12-27 00:00:00+00:00,2023-01-31 00:00:00+00:00,,35 days
WA,2023-01-12 00:00:00+00:00,2023,DR,Severe Storm,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2022-11-03 00:00:00+00:00,2022-11-08 00:00:00+00:00,,5 days
AZ,2022-12-30 00:00:00+00:00,2023,DR,Flood,FLOODING,0,0,1,1,2022-10-01 00:00:00+00:00,2022-10-02 00:00:00+00:00,,1 days
FL,2022-12-13 00:00:00+00:00,2023,DR,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07 00:00:00+00:00,2022-11-30 00:00:00+00:00,,23 days
WV,2022-11-28 00:00:00+00:00,2023,DR,Severe Storm,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2022-08-14 00:00:00+00:00,2022-08-15 00:00:00+00:00,,1 days
WV,2022-11-28 00:00:00+00:00,2023,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2022-07-12 00:00:00+00:00,2022-07-13 00:00:00+00:00,,1 days
SC,2022-11-21 00:00:00+00:00,2023,DR,Hurricane,HURRICANE IAN,0,0,1,1,2022-09-25 00:00:00+00:00,2022-10-04 00:00:00+00:00,,9 days
IL,2022-10-14 00:00:00+00:00,2023,DR,Flood,SEVERE STORM AND FLOODING,1,0,0,1,2022-07-25 00:00:00+00:00,2022-07-28 00:00:00+00:00,,3 days
FL,2022-09-30 00:00:00+00:00,2022,DR,Hurricane,HURRICANE IAN - SEMINOLE TRIBE OF FLORIDA,1,0,1,1,2022-09-23 00:00:00+00:00,2022-11-04 00:00:00+00:00,,42 days
VA,2022-09-30 00:00:00+00:00,2022,DR,Severe Storm,FLOODING AND MUDSLIDES,0,0,1,1,2022-07-13 00:00:00+00:00,2022-07-14 00:00:00+00:00,,1 days
FL,2022-09-29 00:00:00+00:00,2022,DR,Hurricane,HURRICANE IAN,0,0,1,1,2022-09-23 00:00:00+00:00,2022-11-04 00:00:00+00:00,,42 days
AK,2022-09-23 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORM, FLOODING, AND LANDSLIDES",0,0,1,1,2022-09-15 00:00:00+00:00,2022-09-20 00:00:00+00:00,,5 days
PR,2022-09-21 00:00:00+00:00,2022,DR,Hurricane,HURRICANE FIONA,1,0,1,1,2022-09-17 00:00:00+00:00,2022-09-21 00:00:00+00:00,,4 days
OK,2022-09-20 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",0,0,1,1,2022-05-02 00:00:00+00:00,2022-05-08 00:00:00+00:00,,6 days
AS,2022-09-15 00:00:00+00:00,2022,DR,Severe Storm,"HIGH SURF, HIGH WINDS, AND FLOODING",0,0,1,1,2022-07-12 00:00:00+00:00,2022-07-15 00:00:00+00:00,,3 days
AZ,2022-09-02 00:00:00+00:00,2022,DR,Severe Storm,SEVERE STORMS,1,0,1,1,2022-07-17 00:00:00+00:00,2022-07-18 00:00:00+00:00,,1 days
AK,2022-08-26 00:00:00+00:00,2022,DR,Flood,FLOODING,0,0,1,1,2022-05-08 00:00:00+00:00,2022-05-11 00:00:00+00:00,,3 days
MN,2022-08-09 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,1,2022-05-29 00:00:00+00:00,2022-05-30 00:00:00+00:00,,1 days
MO,2022-08-08 00:00:00+00:00,2022,DR,Flood,SEVERE STORMS AND FLOODING,0,0,1,1,2022-07-25 00:00:00+00:00,2022-07-28 00:00:00+00:00,,3 days
SD,2022-08-02 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,1,2022-06-11 00:00:00+00:00,2022-06-14 00:00:00+00:00,,3 days
KY,2022-07-29 00:00:00+00:00,2022,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2022-07-26 00:00:00+00:00,2022-08-11 00:00:00+00:00,,16 days
NE,2022-07-27 00:00:00+00:00,2022,DR,Severe Storm,SEVERE STORMS AND STRAIGHT-LINE WINDS,0,0,1,1,2022-05-12 00:00:00+00:00,2022-05-12 00:00:00+00:00,,0 days
AK,2022-07-26 00:00:00+00:00,2022,DR,Mud/Landslide,LANDSLIDE,0,0,1,1,2022-05-07 00:00:00+00:00,2022-05-07 00:00:00+00:00,,0 days
ND,2022-07-13 00:00:00+00:00,2022,DR,Severe Storm,SEVERE WINTER STORM AND FLOODING,0,0,1,1,2022-04-22 00:00:00+00:00,2022-05-25 00:00:00+00:00,,33 days
MN,2022-07-13 00:00:00+00:00,2022,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2022-04-22 00:00:00+00:00,2022-06-15 00:00:00+00:00,,54 days
MN,2022-07-08 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,1,2022-05-08 00:00:00+00:00,2022-05-13 00:00:00+00:00,,5 days
OK,2022-06-29 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, TORNADOES, AND FLOODING",1,0,0,1,2022-05-02 00:00:00+00:00,2022-05-08 00:00:00+00:00,,6 days
SD,2022-06-29 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORM, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,1,2022-05-12 00:00:00+00:00,2022-05-12 00:00:00+00:00,,0 days
MT,2022-06-16 00:00:00+00:00,2022,DR,Flood,SEVERE STORM AND FLOODING ,0,0,1,1,2022-06-10 00:00:00+00:00,2022-07-05 00:00:00+00:00,,25 days
KS,2022-05-25 00:00:00+00:00,2022,DR,Snowstorm,SEVERE WINTER STORMS AND STRAIGHT-LINE WINDS,0,0,1,1,2022-03-17 00:00:00+00:00,2022-03-22 00:00:00+00:00,,5 days
RI,2022-05-12 00:00:00+00:00,2022,DR,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,0,0,1,1,2022-01-28 00:00:00+00:00,2022-01-29 00:00:00+00:00,,1 days
NM,2022-05-04 00:00:00+00:00,2022,DR,Fire,"WILDFIRES, STRAIGHT-LINE WINDS, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",0,0,1,1,2022-04-05 00:00:00+00:00,2022-07-23 00:00:00+00:00,,109 days
MA,2022-04-18 00:00:00+00:00,2022,DR,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,0,0,1,1,2022-01-28 00:00:00+00:00,2022-01-29 00:00:00+00:00,,1 days
WA,2022-03-29 00:00:00+00:00,2022,DR,Flood,"SEVERE WINTER STORMS, SNOWSTORMS, STRAIGHT-LINE WINDS, FLOODIN ",0,0,1,1,2021-12-26 00:00:00+00:00,2022-01-15 00:00:00+00:00,,20 days
PR,2022-03-29 00:00:00+00:00,2022,DR,Flood,"SEVERE STORM, FLOODING, AND LANDSLIDES",1,0,0,1,2022-02-04 00:00:00+00:00,2022-02-06 00:00:00+00:00,,2 days
AK,2022-03-24 00:00:00+00:00,2022,DR,Severe Storm,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,0,0,1,1,2021-12-25 00:00:00+00:00,2021-12-27 00:00:00+00:00,,2 days
ME,2022-03-15 00:00:00+00:00,2022,DR,Coastal Storm,SEVERE STORM AND FLOODING,0,0,1,1,2021-10-30 00:00:00+00:00,2021-10-31 00:00:00+00:00,,1 days
AK,2022-03-14 00:00:00+00:00,2022,DR,Severe Storm,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,0,0,1,1,2022-01-01 00:00:00+00:00,2022-01-04 00:00:00+00:00,,3 days
TN,2022-03-11 00:00:00+00:00,2022,DR,Severe Storm,SEVERE WINTER STORM,0,0,1,1,2022-02-03 00:00:00+00:00,2022-02-04 00:00:00+00:00,,1 days
VA,2022-03-11 00:00:00+00:00,2022,DR,Severe Storm,SEVERE WINTER STORM AND SNOWSTORM,0,0,1,1,2022-01-02 00:00:00+00:00,2022-01-03 00:00:00+00:00,,1 days
KY,2022-02-27 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES",0,0,1,1,2021-12-31 00:00:00+00:00,2022-01-02 00:00:00+00:00,,2 days
IA,2022-02-23 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",0,0,1,1,2021-12-15 00:00:00+00:00,2021-12-15 00:00:00+00:00,,0 days
NE,2022-02-23 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES ",0,0,1,1,2021-12-15 00:00:00+00:00,2021-12-15 00:00:00+00:00,,0 days
KS,2022-02-17 00:00:00+00:00,2022,DR,Severe Storm,SEVERE STORMS AND STRAIGHT LINE WINDS,0,0,1,1,2021-12-15 00:00:00+00:00,2021-12-15 00:00:00+00:00,,0 days
HI,2022-02-15 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, FLOODING, AND LANDSLIDES",0,0,1,1,2021-12-05 00:00:00+00:00,2021-12-10 00:00:00+00:00,,5 days
AK,2022-01-15 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2021-10-29 00:00:00+00:00,2021-11-01 00:00:00+00:00,,3 days
TN,2022-01-14 00:00:00+00:00,2022,DR,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",0,0,1,1,2021-12-10 00:00:00+00:00,2021-12-11 00:00:00+00:00,,1 days
MO,2022-01-10 00:00:00+00:00,2022,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",0,0,1,1,2021-12-10 00:00:00+00:00,2021-12-10 00:00:00+00:00,,0 days
WA,2022-01-05 00:00:00+00:00,2022,DR,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2021-11-05 00:00:00+00:00,2021-12-02 00:00:00+00:00,,27 days
CO,2021-12-31 00:00:00+00:00,2022,DR,Fire,WILDFIRES AND STRAIGHT-LINE WINDS,1,0,1,1,2021-12-30 00:00:00+00:00,2022-01-07 00:00:00+00:00,,8 days
AR,2021-12-23 00:00:00+00:00,2022,DR,Tornado,SEVERE STORMS AND TORNADOES,1,0,0,1,2021-12-10 00:00:00+00:00,2021-12-11 00:00:00+00:00,,1 days
AL,2021-12-21 00:00:00+00:00,2022,DR,Severe Storm,SEVERE STORMS AND FLOODING ,1,0,0,1,2021-10-06 00:00:00+00:00,2021-10-07 00:00:00+00:00,,1 days
WA,2021-12-21 00:00:00+00:00,2022,DR,Fire,WILDFIRES,0,0,1,1,2021-07-12 00:00:00+00:00,2021-08-08 00:00:00+00:00,,27 days
KY,2021-12-12 00:00:00+00:00,2022,DR,Tornado,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, AND TORNADOES",0,0,1,1,2021-12-10 00:00:00+00:00,2021-12-11 00:00:00+00:00,,1 days
CT,2021-10-30 00:00:00+00:00,2022,DR,Hurricane,REMNANTS OF HURRICANE IDA,0,0,1,1,2021-09-01 00:00:00+00:00,2021-09-02 00:00:00+00:00,,1 days
VA,2021-10-26 00:00:00+00:00,2022,DR,Flood,"FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2021-08-30 00:00:00+00:00,2021-08-31 00:00:00+00:00,,1 days
DE,2021-10-24 00:00:00+00:00,2022,DR,Hurricane,REMNANTS OF HURRICANE IDA,0,0,1,1,2021-09-01 00:00:00+00:00,2021-09-07 00:00:00+00:00,,6 days
MS,2021-10-22 00:00:00+00:00,2022,DR,Hurricane,HURRICANE IDA,0,0,1,1,2021-08-28 00:00:00+00:00,2021-09-01 00:00:00+00:00,,4 days
NY,2021-10-08 00:00:00+00:00,2022,DR,Hurricane,REMNANTS OF TROPICAL STORM FRED,0,0,1,1,2021-08-18 00:00:00+00:00,2021-08-19 00:00:00+00:00,,1 days
NH,2021-10-04 00:00:00+00:00,2022,DR,Flood,SEVERE STORM AND FLOODING,0,0,1,1,2021-07-29 00:00:00+00:00,2021-08-02 00:00:00+00:00,,4 days
MT,2021-09-30 00:00:00+00:00,2021,DR,Fire,RICHARD SPRING FIRE,0,0,1,1,2021-08-08 00:00:00+00:00,2021-08-20 00:00:00+00:00,,12 days
NH,2021-09-30 00:00:00+00:00,2021,DR,Severe Storm,SEVERE STORM AND FLOODING,0,0,1,1,2021-07-17 00:00:00+00:00,2021-07-19 00:00:00+00:00,,2 days
VT,2021-09-29 00:00:00+00:00,2021,DR,Flood,SEVERE STORM AND FLOODING,0,0,1,1,2021-07-29 00:00:00+00:00,2021-07-30 00:00:00+00:00,,1 days
AZ,2021-09-13 00:00:00+00:00,2021,DR,Flood,SEVERE STORMS AND FLOODING,0,0,1,1,2021-07-22 00:00:00+00:00,2021-07-24 00:00:00+00:00,,2 days
CA,2021-09-12 00:00:00+00:00,2021,DR,Fire,WILDFIRES,0,0,1,1,2021-08-14 00:00:00+00:00,2021-10-21 00:00:00+00:00,,68 days
PA,2021-09-10 00:00:00+00:00,2021,DR,Hurricane,REMNANTS OF HURRICANE IDA,0,0,1,1,2021-08-31 00:00:00+00:00,2021-09-05 00:00:00+00:00,,5 days
NC,2021-09-08 00:00:00+00:00,2021,DR,Hurricane,REMNANTS OF TROPICAL STORM FRED,0,0,1,1,2021-08-16 00:00:00+00:00,2021-08-18 00:00:00+00:00,,2 days
NE,2021-09-06 00:00:00+00:00,2021,DR,Severe Storm,SEVERE STORMS AND STRAIGHT-LINE WINDS,0,0,1,1,2021-07-09 00:00:00+00:00,2021-07-10 00:00:00+00:00,,1 days
NY,2021-09-05 00:00:00+00:00,2021,DR,Hurricane,REMNANTS OF HURRICANE IDA,0,0,1,1,2021-09-01 00:00:00+00:00,2021-09-03 00:00:00+00:00,,2 days
NJ,2021-09-05 00:00:00+00:00,2021,DR,Hurricane,REMNANTS OF HURRICANE IDA,0,0,1,1,2021-09-01 00:00:00+00:00,2021-09-03 00:00:00+00:00,,2 days
ND,2021-09-01 00:00:00+00:00,2021,DR,Severe Storm,"SEVERE STORM, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2021-06-07 00:00:00+00:00,2021-06-11 00:00:00+00:00,,4 days
MO,2021-09-01 00:00:00+00:00,2021,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,1,2021-06-24 00:00:00+00:00,2021-07-01 00:00:00+00:00,,7 days
LA,2021-08-29 00:00:00+00:00,2021,DR,Hurricane,HURRICANE IDA,0,0,1,1,2021-08-26 00:00:00+00:00,2021-09-03 00:00:00+00:00,,8 days
CA,2021-08-24 00:00:00+00:00,2021,DR,Fire,WILDFIRES,1,0,1,1,2021-07-14 00:00:00+00:00,2021-10-25 00:00:00+00:00,,103 days
TN,2021-08-23 00:00:00+00:00,2021,DR,Flood,SEVERE STORM AND FLOODING,1,0,1,1,2021-08-21 00:00:00+00:00,2021-08-21 00:00:00+00:00,,0 days
MT,2021-08-13 00:00:00+00:00,2021,DR,Other,STRAIGHT-LINE WINDS,0,0,1,1,2021-06-10 00:00:00+00:00,2021-06-10 00:00:00+00:00,,0 days
MI,2021-07-15 00:00:00+00:00,2021,DR,Severe Storm,"SEVERE STORMS, FLOODING, AND TORNADOES",0,0,1,1,2021-06-25 00:00:00+00:00,2021-06-26 00:00:00+00:00,,1 days
LA,2021-06-02 00:00:00+00:00,2021,DR,Flood,"SEVERE STORMS, TORNADOES, AND FLOODING",0,0,1,1,2021-05-17 00:00:00+00:00,2021-05-21 00:00:00+00:00,,4 days
WV,2021-05-20 00:00:00+00:00,2021,DR,Flood,SEVERE STORMS AND FLOODING,0,0,1,1,2021-02-27 00:00:00+00:00,2021-03-04 00:00:00+00:00,,5 days
HI,2021-05-13 00:00:00+00:00,2021,DR,Flood,"SEVERE STORMS, FLOODING, AND LANDSLIDES",0,0,1,1,2021-03-08 00:00:00+00:00,2021-03-18 00:00:00+00:00,,10 days
WV,2021-05-13 00:00:00+00:00,2021,DR,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-10 00:00:00+00:00,2021-02-16 00:00:00+00:00,,6 days
VA,2021-05-10 00:00:00+00:00,2021,DR,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11 00:00:00+00:00,2021-02-13 00:00:00+00:00,,2 days
TN,2021-05-08 00:00:00+00:00,2021,DR,Tornado,"SEVERE STORMS, TORNADOES, AND FLOODING",0,0,1,1,2021-03-25 00:00:00+00:00,2021-04-03 00:00:00+00:00,,9 days
GA,2021-05-05 00:00:00+00:00,2021,DR,Severe Storm,SEVERE STORMS AND TORNADOES,0,0,1,1,2021-03-25 00:00:00+00:00,2021-03-26 00:00:00+00:00,,1 days
OR,2021-05-04 00:00:00+00:00,2021,DR,Severe Storm,SEVERE WINTER STORM,0,0,1,1,2021-02-11 00:00:00+00:00,2021-02-15 00:00:00+00:00,,4 days
MS,2021-05-04 00:00:00+00:00,2021,DR,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11 00:00:00+00:00,2021-02-19 00:00:00+00:00,,8 days
NJ,2021-04-28 00:00:00+00:00,2021,DR,Snowstorm,SEVERE WINTER STORM AND SNOWSTORM,0,0,1,1,2021-01-31 00:00:00+00:00,2021-02-02 00:00:00+00:00,,2 days
AL,2021-04-26 00:00:00+00:00,2021,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",1,0,0,1,2021-03-25 00:00:00+00:00,2021-03-26 00:00:00+00:00,,1 days
KY,2021-04-23 00:00:00+00:00,2021,DR,Flood,"SEVERE, STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2021-02-27 00:00:00+00:00,2021-03-14 00:00:00+00:00,,15 days
TN,2021-04-21 00:00:00+00:00,2021,DR,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11 00:00:00+00:00,2021-02-19 00:00:00+00:00,,8 days
WA,2021-04-08 00:00:00+00:00,2021,DR,Severe Storm,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,0,2020-12-29 00:00:00+00:00,2021-01-16 00:00:00+00:00,,18 days
KY,2021-03-31 00:00:00+00:00,2021,DR,Severe Ice Storm,"SEVERE WINTER STORMS, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2021-02-08 00:00:00+00:00,2021-02-19 00:00:00+00:00,,11 days
AL,2021-03-28 00:00:00+00:00,2021,DR,Biological,COVID-19 PANDEMIC,1,0,1,1,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,,1207 days
LA,2021-03-09 00:00:00+00:00,2021,DR,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11 00:00:00+00:00,2021-02-19 00:00:00+00:00,,8 days
OR,2024-09-02 00:00:00+00:00,2024,FM,Fire,COPPERFIELD FIRE,0,0,1,1,2024-09-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,,0 days
ID,2021-03-04 00:00:00+00:00,2021,DR,Severe Storm,STRAIGHT-LINE WINDS,0,0,1,1,2021-01-13 00:00:00+00:00,2021-01-13 00:00:00+00:00,,0 days
NC,2021-03-03 00:00:00+00:00,2021,DR,Severe Storm,TROPICAL STORM ETA,0,0,1,1,2020-11-12 00:00:00+00:00,2020-11-15 00:00:00+00:00,,3 days
OK,2019-08-07 00:00:00+00:00,2019,DR,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",0,0,1,1,2019-05-07 00:00:00+00:00,2019-06-09 00:00:00+00:00,2024-08-30 00:00:00+00:00,33 days
OK,2021-02-24 00:00:00+00:00,2021,DR,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-08 00:00:00+00:00,2021-02-20 00:00:00+00:00,,12 days
TX,2021-02-19 00:00:00+00:00,2021,DR,Severe Ice Storm,SEVERE WINTER STORMS,0,0,1,1,2021-02-11 00:00:00+00:00,2021-02-21 00:00:00+00:00,,10 days
OR,2024-09-07 00:00:00+00:00,2024,FM,Fire,RAIL RIDGE FIRE,0,0,1,1,2024-09-02 00:00:00+00:00,2024-09-02 00:00:00+00:00,,0 days
SC,2024-08-05 00:00:00+00:00,2024,EM,Tropical Storm,HURRICANE DEBBY,0,0,1,0,2024-08-04 00:00:00+00:00,2024-08-22 00:00:00+00:00,,18 days
CA,2024-09-08 00:00:00+00:00,2024,FM,Fire,BOYLES FIRE,0,0,1,1,2024-09-08 00:00:00+00:00,2024-09-08 00:00:00+00:00,,0 days
CA,2024-09-07 00:00:00+00:00,2024,FM,Fire,LINE FIRE,0,0,1,1,2024-09-05 00:00:00+00:00,2024-09-05 00:00:00+00:00,,0 days
NV,2024-09-07 00:00:00+00:00,2024,FM,Fire,DAVIS FIRE,0,0,1,1,2024-09-07 00:00:00+00:00,2024-09-07 00:00:00+00:00,,0 days
FL,2020-05-08 00:00:00+00:00,2020,DR,Biological,COVID-19 PANDEMIC,0,0,1,1,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,2024-09-10 00:00:00+00:00,1207 days
LA,2017-10-16 00:00:00+00:00,2018,DR,Hurricane,TROPICAL STORM HARVEY,0,0,1,1,2017-08-28 00:00:00+00:00,2017-09-10 00:00:00+00:00,2024-09-11 00:00:00+00:00,13 days
AK,2021-02-17 00:00:00+00:00,2021,DR,Mud/Landslide,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-11-30 00:00:00+00:00,2020-12-02 00:00:00+00:00,,2 days
WA,2021-02-04 00:00:00+00:00,2021,DR,Fire,WILDFIRES AND STRAIGHT-LINE WINDS,0,0,1,1,2020-09-01 00:00:00+00:00,2020-09-19 00:00:00+00:00,,18 days
MD,2021-02-04 00:00:00+00:00,2021,DR,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,2020-08-03 00:00:00+00:00,2020-08-04 00:00:00+00:00,,1 days
AZ,2021-02-02 00:00:00+00:00,2021,DR,Biological,COVID-19 PANDEMIC,1,0,1,1,2020-01-20 00:00:00+00:00,2023-05-11 00:00:00+00:00,,1207 days
CO,2021-01-15 00:00:00+00:00,2021,DR,Fire,WILDFIRES,0,0,1,1,2020-09-06 00:00:00+00:00,2020-11-05 00:00:00+00:00,,60 days
CT,2021-01-12 00:00:00+00:00,2021,DR,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,2020-08-04 00:00:00+00:00,2020-08-04 00:00:00+00:00,,0 days
GA,2021-01-12 00:00:00+00:00,2021,DR,Hurricane,TROPICAL STORM ZETA,0,0,1,1,2020-10-29 00:00:00+00:00,2020-10-29 00:00:00+00:00,,0 days
UT,2021-01-12 00:00:00+00:00,2021,DR,Severe Storm,STRAIGHT-LINE WINDS,0,0,1,1,2020-09-07 00:00:00+00:00,2020-09-08 00:00:00+00:00,,1 days
LA,2021-01-12 00:00:00+00:00,2021,DR,Hurricane,HURRICANE ZETA,0,0,1,1,2020-10-26 00:00:00+00:00,2020-10-29 00:00:00+00:00,,3 days
VT,2024-09-11 00:00:00+00:00,2024,DR,Flood,SEVERE STORMS AND FLOODING,0,0,1,1,2024-08-22 00:00:00+00:00,2024-08-24 00:00:00+00:00,,2 days
LA,2021-08-27 00:00:00+00:00,2021,EM,Hurricane,TROPICAL STORM IDA,0,0,1,0,2021-08-26 00:00:00+00:00,2021-09-03 00:00:00+00:00,2024-09-12 00:00:00+00:00,8 days
MS,2020-12-31 00:00:00+00:00,2021,DR,Hurricane,HURRICANE ZETA,0,0,1,1,2020-10-28 00:00:00+00:00,2020-10-29 00:00:00+00:00,,1 days
OK,2020-12-21 00:00:00+00:00,2021,DR,Severe Ice Storm,SEVERE WINTER STORM,0,0,1,1,2020-10-26 00:00:00+00:00,2020-10-29 00:00:00+00:00,,3 days
NJ,2020-12-11 00:00:00+00:00,2021,DR,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,2020-08-04 00:00:00+00:00,2020-08-04 00:00:00+00:00,,0 days
AL,2020-12-10 00:00:00+00:00,2021,DR,Hurricane,HURRICANE ZETA,0,0,1,1,2020-10-28 00:00:00+00:00,2020-10-29 00:00:00+00:00,,1 days
TX,2020-12-09 00:00:00+00:00,2021,DR,Hurricane,HURRICANE LAURA,0,0,1,1,2020-08-23 00:00:00+00:00,2020-08-27 00:00:00+00:00,,4 days
PR,2020-11-05 00:00:00+00:00,2021,DR,Flood,SEVERE STORM AND FLOODING,1,0,0,0,2020-09-13 00:00:00+00:00,2020-09-13 00:00:00+00:00,,0 days
LA,2020-10-16 00:00:00+00:00,2021,DR,Hurricane,HURRICANE DELTA ,0,0,1,1,2020-10-06 00:00:00+00:00,2020-10-10 00:00:00+00:00,,4 days
CA,2020-10-16 00:00:00+00:00,2021,DR,Fire,WILDFIRES,0,0,1,1,2020-09-04 00:00:00+00:00,2020-11-17 00:00:00+00:00,,74 days
NC,2020-10-14 00:00:00+00:00,2021,DR,Hurricane,HURRICANE ISAIAS,0,0,1,1,2020-07-31 00:00:00+00:00,2020-08-04 00:00:00+00:00,,4 days
NY,2020-10-02 00:00:00+00:00,2021,DR,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,2020-08-04 00:00:00+00:00,2020-08-04 00:00:00+00:00,,0 days
DE,2020-10-02 00:00:00+00:00,2021,DR,Hurricane,TROPICAL STORM ISAIAS,0,0,1,1,2020-08-04 00:00:00+00:00,2020-08-07 00:00:00+00:00,,3 days
ND,2020-10-02 00:00:00+00:00,2021,DR,Severe Storm,SEVERE STORMS AND FLOODING,0,0,1,1,2020-06-29 00:00:00+00:00,2020-07-01 00:00:00+00:00,,2 days
FL,2020-09-23 00:00:00+00:00,2020,DR,Hurricane,HURRICANE SALLY,0,0,1,1,2020-09-14 00:00:00+00:00,2020-09-28 00:00:00+00:00,,14 days
